,SLC5A9,EPHA10,B3GNT5,AHRR,PRSS21,PKIB,TNNC2,S100P,PI15,RHPN1,ZNF512B,GABBR2,C14orf72,UGT2B7,CHRNA9,SERPIND1,CDC42EP1,MAPK15,IGSF9B,PRAME,PSCA,ENTPD2,BMS1P2,WFDC13,B4GALT6,C17orf107,LINC00896,PRR22,B3GAT1,FLJ44635,CLDN18,MTSS1,KNDC1,HS3ST5,WDR69,TPSB2,NEIL3,NTRK1,OR7A5,HSFX2,ACHE,MIB2,SLC1A7,DBH,INSL4,KCNK5,RRM2,PPAN-P2RY11,LOC284798,TMEM213,WDR87,SQRDL,MAGED4B,RASSF10,YEATS4,CALML5,HHATL,SPDYE2,SEC14L4,OPN3,NR0B1,C19orf57,LOC283174,MCF2L2,USH1G,CYP1A1,APOBEC1,CCL20,SPTBN5,EEF1DP3,HAPLN1
TCGA-05-4249,2.0067498737858775,5.051028396655501,6.315057775627224,4.305202284195159,3.322240750660443,5.526090186245908,3.333788968543529,4.114243590100354,3.087727875299574,5.866181897013282,6.434129096205253,3.274673758118421,1.581758343327358,2.271383341850781,0.6759501557314238,4.278780548699908,8.1325419638212,4.435410991266187,5.051028396655501,1.1797928103242021,1.5132573539601313,5.390381374140978,4.523094246031326,1.3603609790933862,4.165509517470672,4.095607098221341,1.6458469843182642,3.9362315984609237,5.782491986326447,2.979272552515306,6.012729340212662,7.801775861730564,5.985574736174281,5.7834835855306554,3.5404809487645412,8.124467590098046,2.237609142865028,3.087727875299574,0.0,2.697602479904304,6.067911567269073,5.709459662220489,7.754125566449419,2.202643203363078,0.0,8.990452764319933,5.488210188838309,0.36540671086217885,1.9625143896505441,2.0897630907517075,4.1453164716377,7.695757990554761,5.817453363309721,4.135065751661695,5.7533025311195924,1.4397403368255166,1.1797928103242021,0.827590657109436,5.085470620711195,5.696949180791822,0.0,4.165509517470672,5.839367590280544,2.063947120721187,1.1797928103242021,0.27914574142949455,0.0,4.56746001139678,3.9362315984609237,0.7932639718947179,0.4970714675333277
TCGA-05-4382,2.862886360220562,4.5262806464938095,6.674435121216367,5.952216833590194,3.5057405633935907,4.216059118572141,5.4350137453157155,8.489104368225895,4.055518837717198,5.709781113459601,6.748646997195647,0.2145467040886915,2.71594561678213,2.4855730943311607,0.5411026146502628,1.1485763667055577,7.649778334323969,2.2633139785706415,0.39109569414086265,6.805652783541264,2.9161044797917715,4.260943158550819,4.1967687711476405,0.7868651844336971,4.6058889276314225,4.777197269385292,1.6691209145952741,2.71594561678213,2.8210276342512057,2.9289779660405952,1.069663966712217,6.5830440102487975,1.5237928743055242,2.1304197864444654,4.0001089715067195,5.656030271618688,2.6672976486152455,2.3582279144594316,0.39109569414086265,2.4449002947656173,4.445413320829161,6.04825122519609,4.373272175980479,1.7132211848975722,0.39109569414086265,5.807169043362014,6.37552724895571,0.0,3.1361896262492466,1.4136663079157414,4.708096741967793,7.569865765756624,5.240894800175821,2.287907908147895,6.236285437935018,3.0147306559633056,0.0,0.39109569414086265,3.6209806267994926,6.298844461954432,0.0,3.399722961906027,2.1584490983848124,2.4025028235331845,1.221714485802093,6.818032957974805,0.0,7.581036430236038,3.721298240369437,2.6189566579082557,4.947013685798931
TCGA-05-4384,3.933620100135556,5.81091941154312,7.006912594515323,2.9293413711504366,2.484548252237937,4.522008118165517,2.6699467302679016,9.269957427544652,4.0029033881530856,6.142604986418362,7.008731196322139,2.7894335481785544,3.161344164909997,0.47679302902178283,1.5401307058347578,3.259856526793769,7.0157213971076215,5.1189394729233095,3.8462143446713166,2.043762549222818,3.32785219543634,2.5342204863409212,4.04634583478398,1.8714790477779217,4.917159430904083,4.102930926992678,2.043762549222818,2.961461688276544,3.2118149554976174,2.6267172169354107,7.771147217818921,6.4431243906804525,6.4652376255451705,5.9410997688842695,3.3915207133599754,5.631021799618184,3.792608639876413,1.5401307058347578,0.0,3.4318171095961008,3.6283966972341957,6.286644068318195,3.578500813144058,2.826289428983392,1.2364883960026158,6.357935849650724,5.464619630203063,0.0,0.7982726686009449,3.1081945121758814,0.0,7.485323243689924,3.9857993511713365,3.2361222466766715,5.27744606842655,0.47679302902178283,0.0,0.47679302902178283,5.539347986156005,8.809516476757507,5.622225287403862,2.861835099753976,5.403289806914387,2.898852362365756,0.0,0.0,1.5401307058347578,4.736303706012613,4.213389024167929,0.2136587121029947,1.5401307058347578
TCGA-05-4389,3.744200625701898,5.336147690481127,6.22858989594261,3.775456153311528,1.851458172317939,5.822788465901163,4.777315136330485,9.291699136344002,3.5807177966968906,5.431610605816299,7.264527218216673,2.30860692531254,2.7994862193579344,1.103069009385051,0.696491581810335,4.095350722539666,7.0975902062526055,2.7788627493061346,0.696491581810335,7.081927049635638,2.596455478279652,3.5029955597231917,4.0091624202524,0.8511333526167272,5.216136123837615,4.661663934542556,2.274679323740337,2.896690640529326,2.8196989046011187,2.6918124122124936,4.577888399377689,5.8636396982890515,5.506558425272168,0.696491581810335,2.46285699982624,7.748800776880809,5.8890635366800215,3.542610134612479,0.5134820922271999,2.1654013242711767,6.1247709144162075,5.4389267758086275,2.0426997534517275,1.5457097295504505,0.2893806290873624,7.28623280974838,7.108358699454104,0.0,1.7401152360757166,6.635007794978691,0.5134820922271999,7.896147113450887,4.338342475147709,5.221587498689307,6.042951072825157,0.696491581810335,0.2893806290873624,0.8511333526167272,4.472520690092594,6.598879532176678,6.99046826444232,2.2395707430505354,2.30860692531254,2.596455478279652,1.2086617938120676,0.2893806290873624,3.112470318953751,6.042155284994821,2.9747078001077285,1.0714123687414552,2.6452665836644313
TCGA-05-4390,0.49390324457004137,0.8229905307086952,7.394529984228071,1.9996810858361707,5.684089841310465,4.559371243650684,4.7804167741100825,8.935808784944498,10.214630992101682,6.458955647595192,7.439524055867982,1.268270671508667,3.2295981348964764,3.9407095827318956,6.015547217623939,4.2014515519059366,6.671727835628657,5.220015226540688,3.0348952927353148,6.405530891632032,6.647168134501103,3.5870377402052287,4.258872638698361,1.4335118607290014,4.753253927679603,4.522876029037001,3.0945001051484655,2.159188051645008,1.268270671508667,3.123016694418037,0.8229905307086952,8.288536973236802,5.118323099513173,2.2967078558211695,3.325906145625196,5.739008038329923,4.862699704962945,1.0702128141464118,0.49390324457004137,2.4175820288541083,7.247650222880853,6.405530891632032,8.184605799006565,1.268270671508667,0.0,6.872536308166682,7.475548965139056,0.0,0.49390324457004137,0.0,0.49390324457004137,6.733656621295816,5.972518702668524,3.0651417249261588,6.236954546285097,1.0702128141464118,0.49390324457004137,0.8229905307086952,2.7529853250959566,7.331721514207668,0.0,2.3589748781813267,3.9407095827318956,2.7928875499375887,0.49390324457004137,0.0,2.6227391958426693,6.868559045529225,3.0348952927353148,0.8229905307086952,5.796899341817009
TCGA-05-4398,2.2720640279260933,6.517270897351701,6.899149354010261,5.118945455269406,3.114896577042812,4.877286741898261,5.752039163219489,7.336096717091273,4.2752818279938625,7.093155425385689,6.821274306757572,3.2750973555256824,2.046672968631067,0.0,1.1552761357856514,2.018177653075922,9.026240835512722,5.010488616672982,2.9697116545533224,4.071311322111382,2.4743764008148195,3.055236267701723,4.452321990892538,1.2215081574149964,3.676174081616382,5.108209575553648,4.55109829804026,3.665098925448533,3.233110036096024,4.342539686083091,4.591590396611569,7.512934261308604,4.029653140506943,1.3421595937553126,4.397559128501499,5.81948334410826,4.203172060942618,2.018177653075922,0.0,2.4743764008148195,7.073074783207026,6.368173464129414,2.4178583150348723,2.5450762661443647,1.1552761357856514,7.113720117523568,7.354906008577408,2.884968296569136,2.2720640279260933,2.8638509473921445,2.912290880219193,7.9489750087534246,6.957354639473421,2.4925275369193614,5.588008669144372,0.19679957597460782,0.19679957597460782,0.925210829248714,4.472317420187146,7.175267806831815,2.398286105504227,3.3840715685001697,4.203172060942618,2.775166646535753,3.755539941038818,0.19679957597460782,3.636864847011328,7.149869739261687,4.980773846062093,1.1260653154494105,2.1531565795021166
TCGA-05-4402,4.5774536058129796,5.562080651929235,6.750081065461231,3.8671553381991406,3.7148078881281994,6.666149851163579,3.022510514586596,7.413825614264266,3.6416672942405692,6.591548895684692,6.988938874057609,5.436874235287456,3.0457264744849195,3.1646012487680646,4.165948688081544,4.707519171537782,7.595171066442035,4.934517097666716,2.9866410735422106,7.152135722660113,7.264107170745134,2.9619893299890334,4.108041989345698,1.950428497356781,3.7663519385147324,4.675610010133954,1.227503766852301,2.532179790843644,1.8793429047832002,4.824546650733057,8.356827236721681,6.7896741989149305,3.0571377668814828,3.0571377668814828,4.888339591657979,7.2372244800623795,3.7206663548237957,2.219540383819634,0.21615921753976508,2.9494369945686874,4.265623427865673,6.119917126868862,4.929244455880742,0.6755431346115843,0.0,7.659204385988872,6.69670579867129,3.8531791720663238,1.4198500196481005,4.5555355153234105,2.551178043634025,7.34270151641247,5.50878491573981,4.601956026105927,5.8499614648280875,7.171779703083243,0.0,0.0,4.606784881665093,6.9293112701978,0.39372985188974347,3.3584951483781205,3.9401283246904275,2.473129234164864,1.15417313077333,0.39372985188974347,0.21615921753976508,6.504811988417482,4.258824567553057,1.3908589276174703,2.431382799383552
TCGA-05-4405,1.604586161703076,5.827783177532576,6.5745764132566125,3.4493841892454298,2.263241172251021,4.984400826791916,4.789772473271178,4.228123424223551,4.137159768974393,6.565286096572757,7.0194039824810455,5.207084363749947,2.0316027997646784,1.0945707995083898,0.0,7.027145910652224,8.688822792421222,4.188713390002697,5.13562783426314,4.5193998567618285,2.4511861162103132,3.7552709449423176,3.456307217116056,0.5083826421148506,3.510616649430696,5.132894223902872,3.264995760481754,2.787508122436926,6.9013568526410145,2.3923800921102605,5.196135128145269,6.748928349187599,7.080951997443533,3.989178472106848,3.100281460173405,6.900021449873071,3.0699859493781316,2.1918322872588627,0.0,3.510616649430696,6.49772627211367,6.019004322193996,4.947446972140498,2.0316027997646784,0.0,7.560070048300907,5.986240927732757,0.0,1.0945707995083898,3.72377592735764,5.07950193539429,7.133591202607051,5.160611558878386,3.338183031718645,5.389099126701477,0.0,0.0,1.2948641445140034,4.037086143381819,7.03717698841523,0.0,4.396649201928519,5.950645156751003,2.3923800921102605,4.467540119549708,2.3298889275213908,0.0,3.2130468694677576,5.7411521166595385,0.9644711863989083,2.9731645268363
TCGA-05-4415,2.2454219732606715,4.003285002385901,7.879079501979558,2.6931260546438023,5.410158338615427,5.443378287980548,0.3676940104211656,8.489456048944563,4.088774075831707,4.870092713769228,6.785918663661537,2.09323349394822,5.757500161162107,2.7227548886368256,2.530166781192865,2.2454219732606715,6.429898494272839,1.9136525655202417,0.8472835745708761,8.581586702040292,3.28757318602961,4.707528198641661,4.198904257308713,0.0,6.123711365019581,2.120799392603401,0.3676940104211656,2.1972245773362196,3.182672315374641,1.516357245418059,5.044856350280491,4.601831619170682,3.8918202981106265,0.0,8.001355025826703,5.471804178324816,6.437040997282752,1.6945875574757814,0.0,1.7730692230065752,2.8067244131693947,5.64936500687159,0.3676940104211656,1.6094379124341003,7.282300592451956,3.995137298641532,7.769847447627706,0.0,0.0,0.0,0.0,8.884748726451182,6.240396695567871,0.3676940104211656,6.0330862217988015,0.0,0.0,0.3676940104211656,5.158417164615466,8.919164202270125,3.936173031820856,1.41369063260165,1.2992920749980297,4.575031545672938,0.635994649055637,0.635994649055637,0.3676940104211656,7.243670217484454,3.622857166071818,0.3676940104211656,8.685360041341813
TCGA-05-4417,1.4295693446012123,4.933588649296238,6.640346311369912,3.774378020716082,1.8054979953385684,5.335121701070085,3.8447565000561736,8.157800271410457,5.864664732203498,5.710986463504703,6.266703271219297,2.9987975707266523,3.118078216630186,0.0,3.5820122484129566,2.6179504235457647,7.5874169372567355,4.14736544679933,2.2920598969375345,6.088323526902157,2.0780906296088797,2.9666123749801385,4.132899990019584,1.066811976118312,3.923150860549197,4.759795039091716,1.5711751403087681,2.8633316699179736,2.2920598969375345,2.9666123749801385,3.599534447236026,7.710568194429796,7.196431856749531,1.8054979953385684,1.2645503662115403,6.607435013275994,2.7880375226265777,2.0780906296088797,0.0,2.6179504235457647,7.681103616200377,5.606930106290171,3.4499304013417293,1.2645503662115403,2.898957021054588,6.203929282288043,6.481420914931655,0.0,1.2645503662115403,4.2963761494326835,2.5206598194938183,7.131018823096923,5.293445518344269,4.759083694835393,5.3974429855707795,1.066811976118312,0.0,0.0,4.703067924264551,7.143222579985179,1.066811976118312,2.5704878378782063,3.17277324590402,2.3579062645820072,0.0,1.2645503662115403,3.060212980520355,7.632435040755044,3.7296422468818022,1.9048500309477918,2.7481487339871946
